date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-03,bibigo,2025-09-09,0,0,0,0,
2025-09-03,binggrae,2025-09-09,0,0,0,0,
2025-09-03,buldak,2025-09-09,0,0,0,0,
2025-09-03,chapagetti,2025-09-09,0,0,0,0,
2025-09-03,chilsung,2025-09-09,0,0,0,0,
2025-09-03,daesang,2025-09-09,0,0,0,0,
2025-09-03,emart,2025-09-09,0,0,0,0,
2025-09-03,havmor,2025-09-09,0,0,0,0,
2025-09-03,jin ramen,2025-09-09,0,0,0,0,
2025-09-03,jinro,2025-09-09,0,0,0,0,
2025-09-03,kooksoondang,2025-09-09,0,0,0,0,
2025-09-03,kyochon,2025-09-09,0,0,0,0,
2025-09-03,lotte choco pie,2025-09-09,0,0,0,0,
2025-09-03,lotte mart,2025-09-09,0,0,0,0,
2025-09-03,melona,2025-09-09,0,0,0,0,
2025-09-03,milkis,2025-09-09,0,0,0,0,
2025-09-03,neoguri,2025-09-09,0,0,0,0,
2025-09-03,nongshim,2025-09-09,0,0,0,0,
2025-09-03,orion choco pie,2025-09-09,0,0,0,0,
2025-09-03,otoki,2025-09-09,0,0,0,0,
2025-09-03,ottogi,2025-09-09,0,0,0,0,
2025-09-03,pepero,2025-09-09,0,0,0,0,
2025-09-03,red baron,2025-09-09,0,0,0,0,
2025-09-03,samyang,2025-09-09,0,0,0,0,
2025-09-03,sempio,2025-09-09,0,0,0,0,
2025-09-03,shin ramen,2025-09-09,0,0,0,0,
2025-09-03,toomba,2025-09-09,0,0,0,0,
2025-09-03,turtle chips,2025-09-09,0,0,0,0,
2025-09-04,bibigo,2025-09-09,0,0,0,0,
2025-09-04,binggrae,2025-09-09,0,0,0,0,
2025-09-04,buldak,2025-09-09,0,0,0,0,
2025-09-04,chapagetti,2025-09-09,0,0,0,0,
2025-09-04,chilsung,2025-09-09,0,0,0,0,
2025-09-04,daesang,2025-09-09,0,0,0,0,
2025-09-04,emart,2025-09-09,0,0,0,0,
2025-09-04,havmor,2025-09-09,0,0,0,0,
2025-09-04,jin ramen,2025-09-09,0,0,0,0,
2025-09-04,jinro,2025-09-09,0,0,0,0,
2025-09-04,kooksoondang,2025-09-09,0,0,0,0,
2025-09-04,kyochon,2025-09-09,0,0,0,0,
2025-09-04,lotte choco pie,2025-09-09,0,0,0,0,
2025-09-04,lotte mart,2025-09-09,0,0,0,0,
2025-09-04,melona,2025-09-09,0,0,0,0,
2025-09-04,milkis,2025-09-09,0,0,0,0,
2025-09-04,neoguri,2025-09-09,0,0,0,0,
2025-09-04,nongshim,2025-09-09,0,0,0,0,
2025-09-04,orion choco pie,2025-09-09,0,0,0,0,
2025-09-04,otoki,2025-09-09,0,0,0,0,
2025-09-04,ottogi,2025-09-09,0,0,0,0,
2025-09-04,pepero,2025-09-09,0,0,0,0,
2025-09-04,red baron,2025-09-09,0,0,0,0,
2025-09-04,samyang,2025-09-09,0,0,0,0,
2025-09-04,sempio,2025-09-09,0,0,0,0,
2025-09-04,shin ramen,2025-09-09,0,0,0,0,
2025-09-04,toomba,2025-09-09,0,0,0,0,
2025-09-04,turtle chips,2025-09-09,0,0,0,0,
2025-09-05,bibigo,2025-09-09,0,0,0,0,
2025-09-05,binggrae,2025-09-09,0,0,0,0,
2025-09-05,buldak,2025-09-09,0,0,0,0,
2025-09-05,chapagetti,2025-09-09,0,0,0,0,
2025-09-05,chilsung,2025-09-09,0,0,0,0,
2025-09-05,daesang,2025-09-09,0,0,0,0,
2025-09-05,emart,2025-09-09,0,0,0,0,
2025-09-05,havmor,2025-09-09,0,0,0,0,
2025-09-05,jin ramen,2025-09-09,0,0,0,0,
2025-09-05,jinro,2025-09-09,0,0,0,0,
2025-09-05,kooksoondang,2025-09-09,0,0,0,0,
2025-09-05,kyochon,2025-09-09,0,0,0,0,
2025-09-05,lotte choco pie,2025-09-09,0,0,0,0,
2025-09-05,lotte mart,2025-09-09,0,0,0,0,
2025-09-05,melona,2025-09-09,0,0,0,0,
2025-09-05,milkis,2025-09-09,0,0,0,0,
2025-09-05,neoguri,2025-09-09,0,0,0,0,
2025-09-05,nongshim,2025-09-09,0,0,0,0,
2025-09-05,orion choco pie,2025-09-09,0,0,0,0,
2025-09-05,otoki,2025-09-09,0,0,0,0,
2025-09-05,ottogi,2025-09-09,0,0,0,0,
2025-09-05,pepero,2025-09-09,0,0,0,0,
2025-09-05,red baron,2025-09-09,0,0,0,0,
2025-09-05,samyang,2025-09-09,0,0,0,0,
2025-09-05,sempio,2025-09-09,0,0,0,0,
2025-09-05,shin ramen,2025-09-09,0,0,0,0,
2025-09-05,toomba,2025-09-09,0,0,0,0,
2025-09-05,turtle chips,2025-09-09,0,0,0,0,
2025-09-06,bibigo,2025-09-09,0,0,0,0,
2025-09-06,binggrae,2025-09-09,0,0,0,0,
2025-09-06,buldak,2025-09-09,0,0,0,0,
2025-09-06,chapagetti,2025-09-09,0,0,0,0,
2025-09-06,chilsung,2025-09-09,0,0,0,0,
2025-09-06,daesang,2025-09-09,0,0,0,0,
2025-09-06,emart,2025-09-09,0,0,0,0,
2025-09-06,havmor,2025-09-09,0,0,0,0,
2025-09-06,jin ramen,2025-09-09,0,0,0,0,
2025-09-06,jinro,2025-09-09,0,0,0,0,
2025-09-06,kooksoondang,2025-09-09,0,0,0,0,
2025-09-06,kyochon,2025-09-09,0,0,0,0,
2025-09-06,lotte choco pie,2025-09-09,0,0,0,0,
2025-09-06,lotte mart,2025-09-09,0,0,0,0,
2025-09-06,melona,2025-09-09,0,0,0,0,
2025-09-06,milkis,2025-09-09,0,0,0,0,
2025-09-06,neoguri,2025-09-09,0,0,0,0,
2025-09-06,nongshim,2025-09-09,0,0,0,0,
2025-09-06,orion choco pie,2025-09-09,0,0,0,0,
2025-09-06,otoki,2025-09-09,0,0,0,0,
2025-09-06,ottogi,2025-09-09,0,0,0,0,
2025-09-06,pepero,2025-09-09,0,0,0,0,
2025-09-06,red baron,2025-09-09,0,0,0,0,
2025-09-06,samyang,2025-09-09,0,0,0,0,
2025-09-06,sempio,2025-09-09,0,0,0,0,
2025-09-06,shin ramen,2025-09-09,0,0,0,0,
2025-09-06,toomba,2025-09-09,0,0,0,0,
2025-09-06,turtle chips,2025-09-09,0,0,0,0,
2025-09-07,bibigo,2025-09-09,0,0,0,0,
2025-09-07,binggrae,2025-09-09,0,0,0,0,
2025-09-07,buldak,2025-09-09,0,0,0,0,
2025-09-07,chapagetti,2025-09-09,0,0,0,0,
2025-09-07,chilsung,2025-09-09,0,0,0,0,
2025-09-07,daesang,2025-09-09,0,0,0,0,
2025-09-07,emart,2025-09-09,0,0,0,0,
2025-09-07,havmor,2025-09-09,0,0,0,0,
2025-09-07,jin ramen,2025-09-09,0,0,0,0,
2025-09-07,jinro,2025-09-09,0,0,0,0,
2025-09-07,kooksoondang,2025-09-09,0,0,0,0,
2025-09-07,kyochon,2025-09-09,0,0,0,0,
2025-09-07,lotte choco pie,2025-09-09,0,0,0,0,
2025-09-07,lotte mart,2025-09-09,0,0,0,0,
2025-09-07,melona,2025-09-09,0,0,0,0,
2025-09-07,milkis,2025-09-09,0,0,0,0,
2025-09-07,neoguri,2025-09-09,0,0,0,0,
2025-09-07,nongshim,2025-09-09,0,0,0,0,
2025-09-07,orion choco pie,2025-09-09,0,0,0,0,
2025-09-07,otoki,2025-09-09,0,0,0,0,
2025-09-07,ottogi,2025-09-09,0,0,0,0,
2025-09-07,pepero,2025-09-09,0,0,0,0,
2025-09-07,red baron,2025-09-09,0,0,0,0,
2025-09-07,samyang,2025-09-09,0,0,0,0,
2025-09-07,sempio,2025-09-09,0,0,0,0,
2025-09-07,shin ramen,2025-09-09,0,0,0,0,
2025-09-07,toomba,2025-09-09,0,0,0,0,
2025-09-07,turtle chips,2025-09-09,0,0,0,0,
2025-09-08,bibigo,2025-09-09,0,0,0,0,
2025-09-08,binggrae,2025-09-09,0,0,0,0,
2025-09-08,buldak,2025-09-09,0,0,0,0,
2025-09-08,chapagetti,2025-09-09,0,0,0,0,
2025-09-08,chilsung,2025-09-09,0,0,0,0,
2025-09-08,daesang,2025-09-09,0,0,0,0,
2025-09-08,emart,2025-09-09,0,0,0,0,
2025-09-08,havmor,2025-09-09,0,0,0,0,
2025-09-08,jin ramen,2025-09-09,0,0,0,0,
2025-09-08,jinro,2025-09-09,0,0,0,0,
2025-09-08,kooksoondang,2025-09-09,0,0,0,0,
2025-09-08,kyochon,2025-09-09,0,0,0,0,
2025-09-08,lotte choco pie,2025-09-09,0,0,0,0,
2025-09-08,lotte mart,2025-09-09,0,0,0,0,
2025-09-08,melona,2025-09-09,0,0,0,0,
2025-09-08,milkis,2025-09-09,0,0,0,0,
2025-09-08,neoguri,2025-09-09,0,0,0,0,
