date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-05,&team,2025-09-11,0,0,0,0,
2025-09-05,aespa,2025-09-11,0,0,0,0,
2025-09-05,ateez,2025-09-11,0,0,0,0,
2025-09-05,babymonster,2025-09-11,0,0,0,0,
2025-09-05,blackpink,2025-09-11,0,0,0,0,
2025-09-05,boynextdoor,2025-09-11,0,0,0,0,
2025-09-05,bts,2025-09-11,0,0,0,0,
2025-09-05,cravity,2025-09-11,0,0,0,0,
2025-09-05,day6,2025-09-11,0,0,0,0,
2025-09-05,dearalice,2025-09-11,0,0,0,0,
2025-09-05,enhypen,2025-09-11,0,0,0,0,
2025-09-05,gidle,2025-09-11,0,0,0,0,
2025-09-05,hearts2hearts,2025-09-11,0,0,0,0,
2025-09-05,illit,2025-09-11,0,0,0,0,
2025-09-05,itzy,2025-09-11,0,0,0,0,
2025-09-05,ive,2025-09-11,0,0,0,0,
2025-09-05,izna,2025-09-11,0,0,0,0,
2025-09-05,j hope,2025-09-11,0,0,0,0,
2025-09-05,katseye,2025-09-11,0,0,0,0,
2025-09-05,kickflip,2025-09-11,0,0,0,0,
2025-09-05,kiiikiii,2025-09-11,0,0,0,0,
2025-09-05,le sserafim,2025-09-11,0,0,0,0,
2025-09-05,misamo,2025-09-11,0,0,0,0,
2025-09-05,nct,2025-09-11,0,0,0,0,
2025-09-05,nct 127,2025-09-11,0,0,0,0,
2025-09-05,nct dream,2025-09-11,0,0,0,0,
2025-09-05,nct wish,2025-09-11,0,0,0,0,
2025-09-05,newjeans,2025-09-11,0,0,0,0,
2025-09-05,nexz,2025-09-11,0,0,0,0,
2025-09-05,niziu,2025-09-11,0,0,0,0,
2025-09-05,njz,2025-09-11,0,0,0,0,
2025-09-05,nmixx,2025-09-11,0,0,0,0,
2025-09-05,riize,2025-09-11,0,0,0,0,
2025-09-05,seventeen,2025-09-11,0,0,0,0,
2025-09-05,stray kids,2025-09-11,0,0,0,0,
2025-09-05,tomorrow x together,2025-09-11,0,0,0,0,
2025-09-05,twice,2025-09-11,0,0,0,0,
2025-09-05,tws,2025-09-11,0,0,0,0,
2025-09-05,vcha,2025-09-11,0,0,0,0,
2025-09-05,weverse,2025-09-11,0,0,0,0,
2025-09-05,xdinary heroes,2025-09-11,0,0,0,0,
2025-09-05,zerobaseone,2025-09-11,0,0,0,0,
2025-09-06,&team,2025-09-11,0,0,0,0,
2025-09-06,aespa,2025-09-11,0,0,0,0,
2025-09-06,ateez,2025-09-11,0,0,0,0,
2025-09-06,babymonster,2025-09-11,0,0,0,0,
2025-09-06,blackpink,2025-09-11,0,0,0,0,
2025-09-06,boynextdoor,2025-09-11,0,0,0,0,
2025-09-06,bts,2025-09-11,0,0,0,0,
2025-09-06,cravity,2025-09-11,0,0,0,0,
2025-09-06,day6,2025-09-11,0,0,0,0,
2025-09-06,dearalice,2025-09-11,0,0,0,0,
2025-09-06,enhypen,2025-09-11,0,0,0,0,
2025-09-06,gidle,2025-09-11,0,0,0,0,
2025-09-06,hearts2hearts,2025-09-11,0,0,0,0,
2025-09-06,illit,2025-09-11,0,0,0,0,
2025-09-06,itzy,2025-09-11,0,0,0,0,
2025-09-06,ive,2025-09-11,0,0,0,0,
2025-09-06,izna,2025-09-11,0,0,0,0,
2025-09-06,j hope,2025-09-11,0,0,0,0,
2025-09-06,katseye,2025-09-11,0,0,0,0,
2025-09-06,kickflip,2025-09-11,0,0,0,0,
2025-09-06,kiiikiii,2025-09-11,0,0,0,0,
2025-09-06,le sserafim,2025-09-11,0,0,0,0,
2025-09-06,misamo,2025-09-11,0,0,0,0,
2025-09-06,nct,2025-09-11,0,0,0,0,
2025-09-06,nct 127,2025-09-11,0,0,0,0,
2025-09-06,nct dream,2025-09-11,0,0,0,0,
2025-09-06,nct wish,2025-09-11,0,0,0,0,
2025-09-06,newjeans,2025-09-11,0,0,0,0,
2025-09-06,nexz,2025-09-11,0,0,0,0,
2025-09-06,niziu,2025-09-11,0,0,0,0,
2025-09-06,njz,2025-09-11,0,0,0,0,
2025-09-06,nmixx,2025-09-11,0,0,0,0,
2025-09-06,riize,2025-09-11,0,0,0,0,
2025-09-06,seventeen,2025-09-11,0,0,0,0,
2025-09-06,stray kids,2025-09-11,0,0,0,0,
2025-09-06,tomorrow x together,2025-09-11,0,0,0,0,
2025-09-06,twice,2025-09-11,0,0,0,0,
2025-09-06,tws,2025-09-11,0,0,0,0,
2025-09-06,vcha,2025-09-11,0,0,0,0,
2025-09-06,weverse,2025-09-11,0,0,0,0,
2025-09-06,xdinary heroes,2025-09-11,0,0,0,0,
2025-09-06,zerobaseone,2025-09-11,0,0,0,0,
2025-09-07,&team,2025-09-11,0,0,0,0,
2025-09-07,aespa,2025-09-11,0,0,0,0,
2025-09-07,ateez,2025-09-11,0,0,0,0,
2025-09-07,babymonster,2025-09-11,0,0,0,0,
2025-09-07,blackpink,2025-09-11,0,0,0,0,
2025-09-07,boynextdoor,2025-09-11,0,0,0,0,
2025-09-07,bts,2025-09-11,0,0,0,0,
2025-09-07,cravity,2025-09-11,0,0,0,0,
2025-09-07,day6,2025-09-11,0,0,0,0,
2025-09-07,dearalice,2025-09-11,0,0,0,0,
2025-09-07,enhypen,2025-09-11,0,0,0,0,
2025-09-07,gidle,2025-09-11,0,0,0,0,
2025-09-07,hearts2hearts,2025-09-11,0,0,0,0,
2025-09-07,illit,2025-09-11,0,0,0,0,
2025-09-07,itzy,2025-09-11,0,0,0,0,
2025-09-07,ive,2025-09-11,0,0,0,0,
2025-09-07,izna,2025-09-11,0,0,0,0,
2025-09-07,j hope,2025-09-11,0,0,0,0,
2025-09-07,katseye,2025-09-11,0,0,0,0,
2025-09-07,kickflip,2025-09-11,0,0,0,0,
2025-09-07,kiiikiii,2025-09-11,0,0,0,0,
2025-09-07,le sserafim,2025-09-11,0,0,0,0,
